latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,days_since_last_review,has_been_reviewed,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Private room,room_type_Shared room
40.80407,-73.95762,1.0,1,0.02,1,0,1290,1,False,True,False,False,False,False
40.7754,-73.95236,2.0,8,0.26,1,0,344,1,False,True,False,False,False,False
40.70617,-73.93761,1.0,34,0.48,3,75,165,1,True,False,False,False,False,True
40.68592,-73.92695,31.0,1,0.51,2,155,58,1,True,False,False,False,False,False
40.73243,-74.00333,3.0,1,1.0,1,52,12,1,False,True,False,False,True,False
40.77371,-73.91689,3.0,10,0.79,1,88,34,1,False,False,True,False,True,False
40.71571,-73.98699,35.0,0,0.0,1,0,18085,0,False,True,False,False,False,False
40.81515,-73.9421,1.0,0,0.0,1,0,18085,0,False,True,False,False,True,False
40.68764,-73.91445,1.0,57,4.76,1,48,14,1,True,False,False,False,True,False
40.7494,-73.9784,30.0,6,1.94,1,135,30,1,False,True,False,False,False,False
40.64138,-73.91488,1.0,11,0.48,4,347,25,1,True,False,False,False,True,False
40.82042,-73.95256,2.0,5,0.14,2,0,442,1,False,True,False,False,True,False
40.72206,-73.99497,5.0,1,0.05,1,0,589,1,False,True,False,False,False,False
40.76115,-73.99823,30.0,0,0.0,18,146,18085,0,False,True,False,False,False,False
40.68885,-73.95296,2.0,5,0.25,1,0,435,1,True,False,False,False,False,False
40.62914,-73.9575,2.0,2,0.11,1,0,50,1,True,False,False,False,False,False
40.71639,-73.85799,2.0,12,1.45,2,19,22,1,False,False,True,False,True,False
40.76471,-73.95819,1.0,2,0.06,2,0,1052,1,False,True,False,False,True,False
40.79072,-73.97252,3.0,0,0.0,1,0,18085,0,False,True,False,False,False,False
40.63609,-73.96687,2.0,1,0.04,1,0,694,1,True,False,False,False,True,False
40.70043,-73.92266,30.0,0,0.0,1,0,18085,0,True,False,False,False,False,False
40.71174,-73.94353,1.0,0,0.0,1,0,18085,0,True,False,False,False,True,False
40.77747,-73.95193,31.0,4,0.21,33,299,186,1,False,True,False,False,False,False
40.81942,-73.95796,2.0,5,2.88,1,0,16,1,False,True,False,False,False,False
40.70605,-73.90374,1.0,14,1.7,1,272,192,1,False,False,True,False,True,False
40.72439,-73.97767,7.0,1,0.03,1,0,1163,1,False,True,False,False,True,False
40.66524,-73.73283,1.0,89,4.01,3,356,15,1,False,False,True,False,True,False
40.78668,-73.94247,2.0,2,0.08,1,0,691,1,False,True,False,False,True,False
40.62918,-73.96348,3.0,9,0.16,1,0,1189,1,True,False,False,False,False,False
40.63462,-73.95572,2.0,13,1.53,1,160,8,1,True,False,False,False,False,False
40.715,-73.95018,10.0,3,0.06,1,0,337,1,True,False,False,False,False,False
40.77002,-73.92332,1.0,27,2.02,9,363,15,1,False,False,True,False,True,False
40.69542,-73.93258,2.0,5,0.11,3,4,232,1,True,False,False,False,True,False
40.82916,-73.9498,2.0,4,0.94,1,0,42,1,False,True,False,False,False,False
40.69016,-73.99311,2.0,13,0.52,1,0,8,1,True,False,False,False,False,False
40.75825,-73.98982,1.0,54,4.34,1,341,19,1,False,True,False,False,True,False
40.76015,-73.98497,1.0,2,0.41,1,301,128,1,False,True,False,False,False,False
40.82231,-73.91696,7.0,0,0.0,1,254,18085,0,False,False,False,False,False,False
40.76812,-73.95403,1.0,62,2.58,2,258,43,1,False,True,False,False,True,False
40.80622,-73.93875,2.0,0,0.0,1,3,18085,0,False,True,False,False,False,False
40.68036,-73.99247,3.0,4,0.53,1,5,16,1,True,False,False,False,False,False
40.67863,-73.95859,1.0,2,0.17,1,0,281,1,True,False,False,False,True,False
40.75375,-73.90037,2.0,21,1.94,5,125,36,1,False,False,True,False,True,False
40.7626,-73.96031,3.0,57,1.51,1,93,18,1,False,True,False,False,False,False
40.80046,-73.96598,1.0,5,0.22,1,0,651,1,False,True,False,False,True,False
40.71791,-73.94242,3.0,0,0.0,1,0,18085,0,True,False,False,False,True,False
40.72801,-73.98336,3.0,0,0.0,1,0,18085,0,False,True,False,False,False,False
40.6971,-73.97316,2.0,1,0.07,1,0,435,1,True,False,False,False,True,False
40.70719,-73.89632,14.0,11,0.15,1,332,311,1,False,False,True,False,True,False
40.80154,-73.96106,3.0,5,3.85,1,320,16,1,False,True,False,False,False,False
40.71612,-74.01054,2.0,1,0.09,1,363,343,1,False,True,False,False,False,False
40.72547,-74.0021,1.0,94,5.18,1,187,7,1,False,True,False,False,False,False
40.72173,-73.94768,30.0,4,0.12,4,301,700,1,True,False,False,False,False,False
40.7068,-74.01775,1.0,1,1.0,7,339,22,1,False,True,False,False,True,False
40.67817,-74.00991,2.0,41,2.94,1,3,30,1,True,False,False,False,True,False
40.71688,-73.94584,2.0,88,1.31,1,223,41,1,True,False,False,False,False,False
40.74164,-73.98275,2.0,41,1.18,1,242,36,1,False,True,False,False,True,False
40.67793,-73.99531,1.0,78,2.22,5,365,60,1,True,False,False,False,False,False
40.72485,-73.94582,5.0,0,0.0,1,0,18085,0,True,False,False,False,True,False
40.65682,-73.95875,3.0,0,0.0,2,0,18085,0,True,False,False,False,False,False
40.71901,-73.96303,2.0,1,0.16,1,0,188,1,True,False,False,False,True,False
40.73413,-73.95835,14.0,0,0.0,1,0,18085,0,True,False,False,False,True,False
40.769,-73.9541,2.0,5,0.11,1,0,1142,1,False,True,False,False,False,False
40.81818,-73.93905,1.0,12,0.33,1,0,683,1,False,True,False,False,True,False
40.71028,-73.96128,2.0,5,0.06,2,365,1400,1,True,False,False,False,True,False
40.76545,-73.98156,30.0,1,0.23,121,351,130,1,False,True,False,False,False,False
40.77594,-73.90799,2.0,0,0.0,1,35,18085,0,False,False,True,False,True,False
40.7785,-73.91693,1.0,5,0.15,2,0,848,1,False,False,True,False,True,False
40.83735,-73.94351,3.0,89,2.53,1,66,15,1,False,True,False,False,True,False
40.74032,-74.00265,4.0,6,0.16,1,0,661,1,False,True,False,False,False,False
40.71846,-73.9616,1.0,0,0.0,4,177,18085,0,True,False,False,False,False,False
40.72646,-73.95341,3.0,29,0.36,1,15,22,1,True,False,False,False,True,False
40.7441,-73.92153,2.0,31,3.31,1,169,13,1,False,False,True,False,False,False
40.71122,-73.95922,3.0,2,0.06,1,0,707,1,True,False,False,False,False,False
40.83668,-73.94476,13.0,2,0.17,1,0,331,1,False,True,False,False,True,False
40.68785,-73.99181,3.0,13,0.22,1,0,1058,1,True,False,False,False,False,False
40.7121,-73.96156,1.0,1,0.03,3,0,1141,1,True,False,False,False,True,False
40.74457,-73.9194,21.0,0,0.0,1,0,18085,0,False,False,True,False,False,False
40.89753,-73.87359,1.0,6,0.71,1,0,168,1,False,False,False,False,True,False
40.71435,-73.95073,3.0,4,0.05,1,0,1285,1,True,False,False,False,False,False
40.76181,-73.98757,2.0,53,1.06,1,0,29,1,False,True,False,False,False,False
40.69527,-73.9365,3.0,44,1.4,1,64,14,1,True,False,False,False,False,False
40.70666,-73.96526,3.0,31,0.57,1,0,56,1,True,False,False,False,False,False
40.71086,-74.00721,2.0,3,0.36,1,158,45,1,False,True,False,False,False,False
40.65531,-73.96161,4.0,6,0.22,1,6,99,1,True,False,False,False,True,False
40.64372,-73.95969,3.0,12,0.22,1,0,323,1,True,False,False,False,False,False
40.72354,-73.99333,1.0,1,0.3,8,0,99,1,False,True,False,False,True,False
40.68057,-73.95249,3.0,6,0.46,1,1,161,1,True,False,False,False,False,False
40.80403,-73.95615,2.0,6,0.12,1,0,1282,1,False,True,False,False,False,False
40.72791,-73.98929,10.0,5,0.24,1,0,183,1,False,True,False,False,False,False
40.73004,-74.00128,3.0,1,0.26,1,7,113,1,False,True,False,False,False,False
40.72044,-73.9998,2.0,0,0.0,1,2,18085,0,False,True,False,False,False,False
40.67203,-73.76711,1.0,0,0.0,2,179,18085,0,False,False,True,False,True,False
40.65854,-73.962,2.0,2,0.15,1,0,337,1,True,False,False,False,False,False
40.75249,-73.9689,3.0,1,1.0,1,5,18,1,False,True,False,False,False,False
40.82887,-73.9487,2.0,3,0.16,1,0,552,1,False,True,False,False,True,False
40.72429,-73.98784,45.0,0,0.0,1,173,18085,0,False,True,False,False,True,False
40.68874,-73.95684,2.0,14,0.52,1,0,609,1,True,False,False,False,True,False
40.72833,-73.94781,3.0,15,0.3,1,0,1393,1,True,False,False,False,False,False
40.77811,-73.91065,1.0,5,4.69,2,31,11,1,False,False,True,False,True,False
40.59087,-73.97275,7.0,1,0.67,6,313,43,1,True,False,False,False,False,True
40.68843,-73.96239,2.0,114,1.82,1,314,21,1,True,False,False,False,False,False
40.74138,-73.98168,1.0,19,6.63,3,37,15,1,False,True,False,False,True,False
40.71248,-73.96379,1.0,5,0.11,1,0,1358,1,True,False,False,False,True,False
40.67283,-73.87785,1.0,35,0.92,2,365,27,1,True,False,False,False,True,False
40.71883,-73.99716,2.0,119,1.93,1,0,492,1,False,True,False,False,False,False
40.76269,-73.98928,2.0,4,4.0,1,29,5,1,False,True,False,False,False,False
40.68664,-73.92318,1.0,113,2.89,3,288,35,1,True,False,False,False,True,False
40.67295,-73.95646,1.0,4,0.17,1,0,675,1,True,False,False,False,True,False
40.72185,-73.98237,4.0,2,0.35,2,0,163,1,False,True,False,False,True,False
40.72149,-73.99815,3.0,10,0.17,1,0,190,1,False,True,False,False,False,False
40.74043,-73.99277,3.0,5,0.43,1,362,49,1,False,True,False,False,False,False
40.70623,-74.0051,2.0,52,1.11,1,72,15,1,False,True,False,False,False,False
40.74754,-73.99036,1.0,63,2.34,4,29,14,1,False,True,False,False,True,False
